# Epicenters of shear wave splitting measurements at recording station BFO
longitude	latitude	moment_magnitude	hypocentral_depth_km
145.46	17.44	6.50457973381985	149
126.42	4.76	6.50109755238475	39.7
-63.9	-19.28	6.50039606210668	596
122.17	9.51	6.49857250829686	19
-176.56	-17.1	6.49677923282717	377.1
125.42	12.02	6.4961091219431	35
128.41	-7.01	6.4950168729664	10
-97.32	-36.21	6.49167260847082	10
-71.56	-30.3	6.49133178482393	29
152.13	-3.9	6.49022132896798	10
155.02	-6.86	6.48790129854709	39.4
-2.63	-55.65	6.487815013446	10
-178.84	-17.96	6.48733998519407	544
91.06	-10.06	6.48582332559915	7.1
133.13	-0.58	6.48390532629313	33
135.87	-0.59	6.48390532629313	33
104.18	-6.96	6.48215059574264	11
-71.06	-27.21	6.4798534304972	12
128.02	-4.03	6.47949839715461	33
144.9	13.99	6.4750233520459	101
-70.91	-26.79	6.47321378581411	33
147.88	-6.57	6.46803979646665	37
141.22	-2.39	6.46678972645495	33
152.17	-3.83	6.46604638932109	33
127.92	-7.5	6.46211224742745	185
118.34	-8.28	6.4609309742482	35
155.18	-7.16	6.45630145560271	428.8
-25.75	-56.42	6.45543416692243	15
-68.33	-21.66	6.44958488405076	125.1
-80.56	-44.87	6.44909206749841	10
-102.51	-35.96	6.44859841067873	10
144.41	19.89	6.44854899867168	410
-25.74	-59.68	6.4476085647416	33
167.23	-13.57	6.44596788402222	176
-78.7	-10.53	6.44461855894702	73
-69.15	-18.38	6.44451835833878	120.9
140.27	-3.69	6.44411720877049	71
80.13	-41.72	6.44210308131159	10
-71.94	-31.4	6.43649087704604	39
147.41	-6.49	6.4354586846708	69
-73.82	-36.33	6.43509654621883	10
-63.38	-26.65	6.43390346344915	565
129.87	-6.66	6.43353937329388	171.5
-70.87	-20	6.42971489630006	17
154.71	-6.62	6.42929268746899	31.6
-74.66	-39.01	6.42812842846983	11
135.45	-4.18	6.42759766818443	33
142.98	21.64	6.42599952435893	290
-71.12	-30.81	6.42546484340438	54
-71.4	-32.71	6.42417756605033	35
-65.78	-22.15	6.42407003414394	289.5
147.97	-2.95	6.4218567827886	7.3
149.69	-1.53	6.41825806278475	24
169.02	-18.93	6.4179836010573	169.2
-71.29	-32.31	6.41732382943583	51.1
99.8	-2	6.41732382943583	28
127.38	6.13	6.4169933789667	8
125.78	9.79	6.41566779257818	105.6
124.74	-7.4	6.41478068455487	405.4
-68.64	-31.63	6.41350068591923	108
120.53	13.93	6.41283060734526	105
-177.31	-17.34	6.41227102144513	391
127.95	-1.25	6.41064207933018	33
104.71	-5.89	6.41007824340788	101.4
-24.66	-56.47	6.40951330731722	33
126.64	5.51	6.40951330731722	33
35.06	-46.05	6.40610034455987	10
139.29	29.06	6.40610034455987	430.3
80.51	-41.22	6.40575682505593	10
152.82	-6.2	6.40512597877276	10
148.14	-3.16	6.40489623890385	25
134.23	-1.68	6.40437865670395	10
147.26	-6.15	6.40437865670395	75
167.2	-13.17	6.40397545210637	228.4
-19.96	-60.84	6.40264666955735	10
126.46	2.52	6.40195096320434	61.1
126.91	-0.95	6.40136992818172	17
-75.63	-14.17	6.39667918719246	43
138.93	29.97	6.39561321466847	406
8.8	-53.77	6.39263142050101	10
126.1	1.73	6.39263142050101	103
126.29	9.6	6.38961859774141	33
-74.38	-7.64	6.3882829584675	154
-70.09	-33.88	6.38596133242272	120.2
-76.13	-14.28	6.38565446471556	23.4
-66.66	-23.86	6.38559305212554	222
-178.77	-17.74	6.38163530192664	573
125.48	11.76	6.38101198703659	33
126.65	2.12	6.37957324970076	54.7
125.9	11.57	6.37342562320759	33
-67.28	-20.93	6.3708520093321	218
-74.76	-40.51	6.36955657247476	33
-26.85	-56.45	6.36910179675415	84
166.5	-12.02	6.35897897038639	109
-71.33	-31.3	6.35796721750614	45.9
153.4	-5.18	6.35559262003354	33
105.51	-6.61	6.35422691158336	33
110.45	-7.96	6.35347301692125	12.5
127.3	1.69	6.34862895655265	93.8
-80.16	-44.81	6.34834968992419	10
99.69	-1.16	6.34820995553219	43.1
127.9	-1.92	6.34800022741393	33
128.49	-7.32	6.34589454791738	141.9
151.04	-5.93	6.345118612211	16
124.67	-0.07	6.34490663197852	25
-73.69	-37.58	6.34434059141777	21
145.57	-2.63	6.3433473497761	10
126.36	1.29	6.34284944826972	38.3
-71.38	-29.67	6.34020336409407	71
132.37	-5.18	6.33876291508012	33
