# station	network	lat	lon	useless	depth
A195A	Z3	43.975200	2.719300	0.	0.
A196A	Z3	44.051500	4.528000	0.	0.
A198A	Z3	43.600600	2.800400	0.	0.
A199A	Z3	43.743800	3.688300	0.	0.
A200A	Z3	43.692700	4.188500	0.	0.
A201A	Z3	43.500600	4.791700	0.	0.
A202A	Z3	43.502500	3.260200	0.	0.
A204A	Z3	43.241300	5.609900	0.	0.
A205A	Z3	43.200100	6.233500	0.	0.
A206A	Z3	43.219700	6.601000	0.	0.
A208A	Z3	42.232600	8.793700	0.	0.
A209A	Z3	42.504100	9.494400	0.	0.
A209B	Z3	42.502900	9.506600	0.	0.
A210A	Z3	48.827700	5.922540	0.	0.
A211A	Z3	48.407100	6.619520	0.	0.
A212A	Z3	48.093100	5.044400	0.	0.
A213A	Z3	47.496700	5.479900	0.	0.
A214A	Z3	46.362000	5.800300	0.	0.
A215A	Z3	45.430700	5.232260	0.	0.
A216A	Z3	44.429100	5.549890	0.	0.
A217A	Z3	44.370100	6.073300	0.	0.
A401A	Z3	42.647000	5.019800	0.	0.
A410A	Z3	43.586600	8.073200	0.	0.
A413A	Z3	41.942200	5.310100	0.	0.
A416A	Z3	42.647900	6.962700	0.	0.
A419A	Z3	43.291300	8.602000	0.	0.
A422A	Z3	41.943900	6.410100	0.	0.
A425A	Z3	42.647800	8.073800	0.	0.
A429A	Z3	41.944700	7.518800	0.	0.
