id|Tag|Authors|Year|Title|Journal|No|Pages|DOI|Link|Comment
37|Wolfe1998a|Wolfe, C.J., Solomon, S.C.|1998|Shear-wave splitting and implications for mantle flow beneath the MELT region of the East Pacific Rise|Science|280|1230-1232| | | 
38|Wolfe1998b|Wolfe, C.J., Vernon, J.F.L.|1998|Shear wave splitting at central Tien Shan, evidence for rapid variation of anisotropic patterns|Geophys. Res. Lett.|25|1217-1220| | | 
39|Barruol1999|Barruol, G., Hoffman, R.|1999|Upper mantle anisotropy beneath the Geoscope stations|J. Geophys. Res.|104(B5)|10757-10773| | | 
40|Brisbourne1999|Brisbourne, A., Stuart, G., Kendall, J.M.|1999|Anisotropic structure of the Hikurangi subduction zone, New Zealand - integrated interpretation of surface-wave and body- wave observations|Geophys. J. Int.|137(1)|214-230| | | 
41|Dricker1999|Dricker, I., Vinnik, L.P., Roecker, S., Makeyeva, L.|1999|Upper-mantle flow in Eastern Europe|Geophysical Research Letters|26(9)|1219-1222| | | 
43|Kay1999|Kay, I., Sol, S., Kendall, J.M., Thomson, C., White, D., Asudeh, I., Roberts, B., Francis, D.|1999|Shear wave splitting observations in the Archean craton of western Superior|Geophysical Research Letters|26(17)|2669-2672| | | 
44|Marson-Pidgeon1999|Marson-Pidgeon, K., Savage, M.K., Gledhill, K., Stuart, G.|1999|Seismic anisotropy beneath the lower half of the North Island, New Zealand|J. Geophys. Res.|104(B9)|20277-20286| | | 
46|Wolfe1999|Wolfe, C.J., Vernon, F.L., Al-Amri, A.|1999|Shear-wave splitting across western Saudi Arabia: the pattern of upper mantle anisotropy at a Proterozoic shield|Geophysical Research Letters|26(6)|779-782| | | 
47|Wylegalla1999|Wylegalla, K., Bock, G., Gossler, J., Hanka, W.|1999|Anisotropy across the Sorgenfrei-Tornquist Zone from shear wave splitting|Tectonophysics|314(1-3)|335-350| | | 
48|Audoine2000|Audoine, E., Savage, M.K., Gledhill, K.|2000|Seismic anisotropy from local earthquakes in the transition region from a subduction to a strike-slip plate boundary, New Zealand|J. Geophys. Res.|105(4)|8013-8033| | | 
49|Bank2000|Bank, C.-G., Bostock,M.G., Ellis, R.M., Cassidy, J.F.|2000|A reconnaissance teleseismic study of the upper mantle and transition zone beneath the Archean Slave craton in NW Canada|Tectonophysics|319(3)|151-166| | | 
50|Fouch2000a|Fouch, M.J.|2000| |personal communication| | | | | 
51|Fouch2000b|Fouch, M.J., Fischer, K.M., Parmentier, E.M., Wysession, M.E., Clarke, T.J.|2000|Shear wave splitting, continental keels, and patterns of mantle flow|J. Geophys. Res.|105(B3)|6255-6275| | | 
