longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-178.000000 -10.000000 -63.00 29.74 PA(NNR) GSRMv1.2
-178.000000 -8.000000 -63.64 29.74 PA(NNR) GSRMv1.2
-178.000000 -6.000000 -64.20 29.74 PA(NNR) GSRMv1.2
-178.000000 -4.000000 -64.68 29.74 PA(NNR) GSRMv1.2
-178.000000 -2.000000 -65.09 29.74 PA(NNR) GSRMv1.2
-178.000000 0.000000 -65.42 29.74 PA(NNR) GSRMv1.2
-178.000000 2.000000 -65.67 29.74 PA(NNR) GSRMv1.2
-178.000000 4.000000 -65.83 29.74 PA(NNR) GSRMv1.2
-178.000000 6.000000 -65.92 29.74 PA(NNR) GSRMv1.2
-178.000000 8.000000 -65.93 29.74 PA(NNR) GSRMv1.2
-178.000000 10.000000 -65.86 29.74 PA(NNR) GSRMv1.2
-178.000000 12.000000 -65.71 29.74 PA(NNR) GSRMv1.2
-178.000000 14.000000 -65.48 29.74 PA(NNR) GSRMv1.2
-178.000000 16.000000 -65.17 29.74 PA(NNR) GSRMv1.2
-178.000000 18.000000 -64.78 29.74 PA(NNR) GSRMv1.2
-178.000000 20.000000 -64.32 29.73 PA(NNR) GSRMv1.2
-178.000000 22.000000 -63.77 29.73 PA(NNR) GSRMv1.2
-178.000000 24.000000 -63.15 29.73 PA(NNR) GSRMv1.2
-178.000000 26.000000 -62.45 29.73 PA(NNR) GSRMv1.2
-178.000000 28.000000 -61.68 29.72 PA(NNR) GSRMv1.2
-178.000000 30.000000 -60.83 29.72 PA(NNR) GSRMv1.2
-178.000000 32.000000 -59.90 29.72 PA(NNR) GSRMv1.2
-178.000000 34.000000 -58.90 29.71 PA(NNR) GSRMv1.2
-178.000000 36.000000 -57.84 29.71 PA(NNR) GSRMv1.2
-178.000000 38.000000 -56.70 29.71 PA(NNR) GSRMv1.2
-178.000000 40.000000 -55.49 29.70 PA(NNR) GSRMv1.2
-178.000000 42.000000 -54.21 29.70 PA(NNR) GSRMv1.2
-178.000000 44.000000 -52.87 29.70 PA(NNR) GSRMv1.2
-178.000000 46.000000 -51.46 29.69 PA(NNR) GSRMv1.2
-178.000000 48.000000 -49.99 29.69 PA(NNR) GSRMv1.2
-178.000000 50.000000 -48.46 29.69 PA(NNR) GSRMv1.2
-178.000000 52.000000 1.87 -22.64 NA(NNR) GSRMv1.2
-178.000000 54.000000 1.93 -22.64 NA(NNR) GSRMv1.2
-178.000000 56.000000 1.99 -22.64 NA(NNR) GSRMv1.2
-178.000000 58.000000 2.04 -22.64 NA(NNR) GSRMv1.2
-178.000000 60.000000 2.10 -22.63 NA(NNR) GSRMv1.2
-178.000000 62.000000 2.15 -22.63 NA(NNR) GSRMv1.2
-178.000000 64.000000 2.20 -22.63 NA(NNR) GSRMv1.2
-178.000000 66.000000 2.24 -22.63 NA(NNR) GSRMv1.2
-178.000000 68.000000 2.28 -22.63 NA(NNR) GSRMv1.2
-178.000000 70.000000 2.32 -22.62 NA(NNR) GSRMv1.2
-178.000000 72.000000 2.36 -22.62 NA(NNR) GSRMv1.2
-178.000000 74.000000 2.40 -22.62 NA(NNR) GSRMv1.2
-178.000000 76.000000 2.43 -22.62 NA(NNR) GSRMv1.2
-178.000000 78.000000 2.46 -22.62 NA(NNR) GSRMv1.2
-178.000000 80.000000 2.48 -22.62 NA(NNR) GSRMv1.2
-178.000000 82.000000 2.50 -22.62 NA(NNR) GSRMv1.2
-178.000000 84.000000 2.52 -22.62 NA(NNR) GSRMv1.2
