longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-176.000000 30.000000 -61.92 30.14 PA(NNR) NNR-MORVEL56
-176.000000 32.000000 -61.10 30.13 PA(NNR) NNR-MORVEL56
-176.000000 34.000000 -60.20 30.13 PA(NNR) NNR-MORVEL56
-176.000000 36.000000 -59.23 30.13 PA(NNR) NNR-MORVEL56
-176.000000 38.000000 -58.19 30.13 PA(NNR) NNR-MORVEL56
-176.000000 40.000000 -57.07 30.12 PA(NNR) NNR-MORVEL56
-176.000000 42.000000 -55.89 30.12 PA(NNR) NNR-MORVEL56
-176.000000 44.000000 -54.64 30.11 PA(NNR) NNR-MORVEL56
-176.000000 46.000000 -53.32 30.11 PA(NNR) NNR-MORVEL56
-176.000000 48.000000 -51.94 30.11 PA(NNR) NNR-MORVEL56
-176.000000 50.000000 -50.49 30.10 PA(NNR) NNR-MORVEL56
-176.000000 52.000000 0.49 -23.03 NA(NNR) NNR-MORVEL56
-176.000000 54.000000 0.59 -23.03 NA(NNR) NNR-MORVEL56
-176.000000 56.000000 0.68 -23.03 NA(NNR) NNR-MORVEL56
-176.000000 58.000000 0.78 -23.03 NA(NNR) NNR-MORVEL56
-176.000000 60.000000 0.88 -23.02 NA(NNR) NNR-MORVEL56
-176.000000 62.000000 0.98 -23.02 NA(NNR) NNR-MORVEL56
-176.000000 64.000000 1.07 -23.02 NA(NNR) NNR-MORVEL56
-176.000000 66.000000 1.17 -23.02 NA(NNR) NNR-MORVEL56
-176.000000 68.000000 1.26 -23.01 NA(NNR) NNR-MORVEL56
-176.000000 70.000000 1.35 -23.01 NA(NNR) NNR-MORVEL56
-176.000000 72.000000 1.44 -23.01 NA(NNR) NNR-MORVEL56
-176.000000 74.000000 1.53 -23.01 NA(NNR) NNR-MORVEL56
-176.000000 76.000000 1.62 -23.01 NA(NNR) NNR-MORVEL56
-176.000000 78.000000 1.70 -23.01 NA(NNR) NNR-MORVEL56
-176.000000 80.000000 1.78 -23.01 NA(NNR) NNR-MORVEL56
-176.000000 82.000000 1.86 -23.01 NA(NNR) NNR-MORVEL56
-176.000000 84.000000 1.94 -23.00 NA(NNR) NNR-MORVEL56
-176.000000 86.000000 2.02 -23.00 NA(NNR) NNR-MORVEL56
-176.000000 88.000000 2.09 -23.00 NA(NNR) NNR-MORVEL56
-176.000000 90.000000 2.16 -23.00 NA(NNR) NNR-MORVEL56
-174.000000 -90.000000 6.47 -9.55 AN(NNR) NNR-MORVEL56
-174.000000 -88.000000 7.35 -9.55 AN(NNR) NNR-MORVEL56
-174.000000 -86.000000 8.23 -9.55 AN(NNR) NNR-MORVEL56
