longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-176.000000 -88.000000 7.01 -9.77 AN(NNR) MORVEL2010
-176.000000 -86.000000 7.89 -9.77 AN(NNR) MORVEL2010
-176.000000 -84.000000 8.75 -9.77 AN(NNR) MORVEL2010
-176.000000 -82.000000 9.60 -9.77 AN(NNR) MORVEL2010
-176.000000 -80.000000 10.45 -9.77 AN(NNR) MORVEL2010
-176.000000 -78.000000 11.28 -9.77 AN(NNR) MORVEL2010
-176.000000 -76.000000 12.09 -9.77 AN(NNR) MORVEL2010
-176.000000 -74.000000 12.89 -9.77 AN(NNR) MORVEL2010
-176.000000 -72.000000 13.67 -9.77 AN(NNR) MORVEL2010
-176.000000 -70.000000 14.44 -9.78 AN(NNR) MORVEL2010
-176.000000 -68.000000 15.19 -9.78 AN(NNR) MORVEL2010
-176.000000 -66.000000 -16.10 30.08 PA(NNR) MORVEL2010
-176.000000 -64.000000 -18.32 30.08 PA(NNR) MORVEL2010
-176.000000 -62.000000 -20.52 30.09 PA(NNR) MORVEL2010
-176.000000 -60.000000 -22.70 30.09 PA(NNR) MORVEL2010
-176.000000 -58.000000 -24.85 30.09 PA(NNR) MORVEL2010
-176.000000 -56.000000 -26.96 30.09 PA(NNR) MORVEL2010
-176.000000 -54.000000 -29.05 30.10 PA(NNR) MORVEL2010
-176.000000 -52.000000 -31.09 30.10 PA(NNR) MORVEL2010
-176.000000 -50.000000 -33.10 30.10 PA(NNR) MORVEL2010
-176.000000 -48.000000 -35.07 30.11 PA(NNR) MORVEL2010
-176.000000 -46.000000 -37.00 30.11 PA(NNR) MORVEL2010
-176.000000 -44.000000 -38.88 30.12 PA(NNR) MORVEL2010
-176.000000 -42.000000 -40.71 30.12 PA(NNR) MORVEL2010
-176.000000 -40.000000 -42.49 30.12 PA(NNR) MORVEL2010
-176.000000 -38.000000 -44.22 30.13 PA(NNR) MORVEL2010
-176.000000 -36.000000 -45.89 30.13 PA(NNR) MORVEL2010
-176.000000 -34.000000 -47.51 30.13 PA(NNR) MORVEL2010
-176.000000 -32.000000 -49.08 30.14 PA(NNR) MORVEL2010
-176.000000 -30.000000 -50.58 30.14 PA(NNR) MORVEL2010
-176.000000 -28.000000 12.01 32.57 AU(NNR) MORVEL2010
-176.000000 -26.000000 14.13 32.58 AU(NNR) MORVEL2010
-176.000000 -24.000000 16.23 32.58 AU(NNR) MORVEL2010
-176.000000 -22.000000 18.31 32.58 AU(NNR) MORVEL2010
-176.000000 -20.000000 20.37 32.59 AU(NNR) MORVEL2010
-176.000000 -18.000000 22.40 32.59 AU(NNR) MORVEL2010
-176.000000 -16.000000 24.40 32.59 AU(NNR) MORVEL2010
-176.000000 -14.000000 -60.23 30.16 PA(NNR) MORVEL2010
-176.000000 -12.000000 -61.12 30.16 PA(NNR) MORVEL2010
-176.000000 -10.000000 -61.94 30.16 PA(NNR) MORVEL2010
-176.000000 -8.000000 -62.68 30.16 PA(NNR) MORVEL2010
-176.000000 -6.000000 -63.35 30.16 PA(NNR) MORVEL2010
-176.000000 -4.000000 -63.94 30.16 PA(NNR) MORVEL2010
-176.000000 -2.000000 -64.45 30.16 PA(NNR) MORVEL2010
-176.000000 0.000000 -64.89 30.16 PA(NNR) MORVEL2010
-176.000000 2.000000 -65.24 30.16 PA(NNR) MORVEL2010
-176.000000 4.000000 -65.52 30.16 PA(NNR) MORVEL2010
-176.000000 6.000000 -65.72 30.16 PA(NNR) MORVEL2010
-176.000000 8.000000 -65.84 30.16 PA(NNR) MORVEL2010
-176.000000 10.000000 -65.87 30.16 PA(NNR) MORVEL2010
-176.000000 12.000000 -65.83 30.16 PA(NNR) MORVEL2010
-176.000000 14.000000 -65.71 30.16 PA(NNR) MORVEL2010
-176.000000 16.000000 -65.51 30.16 PA(NNR) MORVEL2010
-176.000000 18.000000 -65.23 30.15 PA(NNR) MORVEL2010
-176.000000 20.000000 -64.87 30.15 PA(NNR) MORVEL2010
-176.000000 22.000000 -64.43 30.15 PA(NNR) MORVEL2010
-176.000000 24.000000 -63.92 30.15 PA(NNR) MORVEL2010
-176.000000 26.000000 -63.32 30.14 PA(NNR) MORVEL2010
-176.000000 28.000000 -62.65 30.14 PA(NNR) MORVEL2010
-176.000000 30.000000 -61.91 30.14 PA(NNR) MORVEL2010
