stacode;stalat;stalon;evdate;evlat;evlon;phase;phiSCerrmin;phiSC;phiSCerrmax;dtSCerrmin;dtSC;dtSCerrmax;SIerrmin;SI;SIerrmax;SIdiff;pair;ppCMBlat;ppCMBlon;misori;filterlow;filterhigh
BURU;64.5836;21.3769;23-Aug-2016;-7.2800;122.4500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.02156;0.08852;0.15547;NaN;same;55.8761;74.9719;NaN;0.067;0.200
BURU;64.5836;21.3769;23-Aug-2016;-7.2800;122.4500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.12029;-0.07989;-0.03948;NaN;same;62.4415;54.5117;NaN;0.067;0.200
BYXU;57.2899;17.0083;31-Aug-2016;-3.6900;152.7900;SKKS;75.84;86.83;-81.91;0.58;0.74;0.96;0.81115;0.90068;0.99021;NaN;same;65.1588;65.7716;NaN;0.081;0.240
BYXU;57.2899;17.0083;31-Aug-2016;-3.6900;152.7900;SKS;-81.91;-73.17;-69.78;1.32;1.52;1.76;1.23434;1.41756;1.60077;NaN;same;62.9753;35.8497;NaN;0.081;0.240
DOMB;62.0730;9.1120;31-Aug-2016;-3.6900;152.7900;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.05534;0.18047;0.30560;NaN;same;71.9664;69.0750;NaN;0.067;0.200
DOMB;62.0730;9.1120;31-Aug-2016;-3.6900;152.7900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.05464;0.04944;0.15351;NaN;same;69.2092;29.8289;NaN;0.067;0.200
DUNU;67.1215;20.5688;21-Sep-2013;-7.2600;119.9600;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.18244;-0.10241;-0.02239;NaN;same;56.8410;76.9623;NaN;0.067;0.200
DUNU;67.1215;20.5688;21-Sep-2013;-7.2600;119.9600;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.24174;-0.18477;-0.12779;NaN;same;64.1527;56.9288;NaN;0.067;0.200
DUNU;67.1215;20.5688;01-May-2015;-5.2000;151.8000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.00452;0.04868;0.10188;NaN;same;68.8219;92.9624;NaN;0.067;0.200
DUNU;67.1215;20.5688;01-May-2015;-5.2000;151.8000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.07323;0.16566;0.25809;NaN;same;71.8942;54.5849;NaN;0.067;0.200
DUNU;67.1215;20.5688;23-Aug-2016;-7.2800;122.4500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.10830;-0.02162;0.06507;NaN;same;57.7336;78.0625;NaN;0.067;0.200
DUNU;67.1215;20.5688;23-Aug-2016;-7.2800;122.4500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.14628;-0.07704;-0.00781;NaN;same;64.8180;56.9174;NaN;0.067;0.200
EKSU;57.5726;15.3016;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.00578;0.05452;0.10326;NaN;same;43.5959;-19.3507;NaN;0.067;0.200
EKSU;57.5726;15.3016;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.01554;0.06016;0.13587;NaN;same;51.9583;-4.4373;NaN;0.067;0.200
EKSU;57.5726;15.3016;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.04685;0.13653;0.22620;NaN;same;42.4133;-19.6745;NaN;0.067;0.200
